State,Requirement
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,0
Colorado,0
Connecticut,1
Delaware,1
Florida,0
Georgia,0
Hawaii,2
Idaho,3
Illinois,1
Indiana,0
Iowa,0
Kansas,0
Kentucky,2
Louisiana,2
Maine,1
Maryland,0
Massachusetts,0
Michigan,1
Minnesota,0
Mississippi,2
Missouri,0
Montana,2
Nebraska,2
Nevada,2
New Hampshire,1
New Jersey,0
New Mexico,0
New York,0
North Carolina,2
North Dakota,0
Ohio,3
Oklahoma,0
Oregon,0
Pennsylvania,0
Rhode Island,0
South Carolina,2
South Dakota,0
Tennessee,3
Texas,0
Utah,2
Vermont,0
Virginia,0
Washington,0
West Virginia,0
Wisconsin,2
Wyoming,2
