,2014,2004,1994
Alabama,62.1,60.6,64.1
Alaska,44,44.9,37.4
Arizona,52.3,47.7,47.3
Arkansas,63.5,55.9,48.2
California,60.9,43.7,60.8
Colorado,58.2,57.8,51.7
Connecticut,73.4,61.1,58.6
Delaware,63.2,54.4,65.1
Florida,63.4,53.5,49.2
Georgia,63.6,64,59.4
Hawaii,60.8,51.6,61.7
Idaho,43.7,47.4,48
Illinois,61.5,55.2,63.6
Indiana,61.3,59.1,55
Iowa,67.2,61.5,64.1
Kansas,65.4,61.2,57.2
Kentucky,63.6,57.4,49.4
Louisiana,69.5,54.5,53.4
Maine,54.6,49.6,50.4
Maryland,63.9,58.7,55.2
Massachusetts,74.5,63.4,65.4
Michigan,64,58.8,60.1
Minnesota,69.9,65.3,52.6
Mississippi,72.2,59.9,68.6
Missouri,62.1,52.8,50.8
Montana,60.9,57.8,54.2
Nebraska,62.5,59.7,60.4
Nevada,52.7,55.1,37.6
New Hampshire,61.5,55.4,55.6
New Jersey,69.8,62.8,64.4
New Mexico,63.3,61.3,53.5
New York,69.3,67.9,69.5
North Carolina,62.9,64.3,51
North Dakota,65.9,67.6,68.2
Ohio,62.5,52.8,51.4
Oklahoma,63,52.9,49.3
Oregon,47.6,45.5,57.4
Pennsylvania,61.6,58.9,56.9
Rhode Island,62,55.6,65.4
South Carolina,68.1,67,58.4
South Dakota,67.2,68.8,49.9
Tennessee,64.5,62,53.5
Texas,58.7,51.9,50.4
Utah,45.3,43.7,55.8
Vermont,54,43.4,50.6
Virginia,67.7,57.6,53.3
Washington,50.1,43.4,57.4
West Virginia,54.7,53.3,49.5
Wisconsin,61.3,58.5,59.8
Wyoming,53.8,59,52.6
