,States,2014,2004,1994
0,Alabama,62.1,60.6,64.1
1,Alaska,44.0,44.9,37.4
2,Arizona,52.3,47.7,47.3
3,Arkansas,63.5,55.9,48.2
4,California,60.9,43.7,60.8
5,Colorado,58.2,57.8,51.7
6,Connecticut,73.4,61.1,58.6
7,Delaware,63.2,54.4,65.1
8,Florida,63.4,53.5,49.2
9,Georgia,63.6,64.0,59.4
10,Hawaii,60.8,51.6,61.7
11,Idaho,43.7,47.4,48.0
12,Illinois,61.5,55.2,63.6
13,Indiana,61.3,59.1,55.0
14,Iowa,67.2,61.5,64.1
15,Kansas,65.4,61.2,57.2
16,Kentucky,63.6,57.4,49.4
17,Louisiana,69.5,54.5,53.4
18,Maine,54.6,49.6,50.4
19,Maryland,63.9,58.7,55.2
20,Massachusetts,74.5,63.4,65.4
21,Michigan,64.0,58.8,60.1
22,Minnesota,69.9,65.3,52.6
23,Mississippi,72.2,59.9,68.6
24,Missouri,62.1,52.8,50.8
25,Montana,60.9,57.8,54.2
26,Nebraska,62.5,59.7,60.4
27,Nevada,52.7,55.1,37.6
28,New Hampshire,61.5,55.4,55.6
29,New Jersey,69.8,62.8,64.4
30,New Mexico,63.3,61.3,53.5
31,New York,69.3,67.9,69.5
32,North Carolina,62.9,64.3,51.0
33,North Dakota,65.9,67.6,68.2
34,Ohio,62.5,52.8,51.4
35,Oklahoma,63.0,52.9,49.3
36,Oregon,47.6,45.5,57.4
37,Pennsylvania,61.6,58.9,56.9
38,Rhode Island,62.0,55.6,65.4
39,South Carolina,68.1,67.0,58.4
40,South Dakota,67.2,68.8,49.9
41,Tennessee,64.5,62.0,53.5
42,Texas,58.7,51.9,50.4
43,Utah,45.3,43.7,55.8
44,Vermont,54.0,43.4,50.6
45,Virginia,67.7,57.6,53.3
46,Washington,50.1,43.4,57.4
47,West Virginia,54.7,53.3,49.5
48,Wisconsin,61.3,58.5,59.8
49,Wyoming,53.8,59.0,52.6
50,Nation,62.6,55.7,57.1
